Type,RStudio,Stats,Location,Cohort,lon,lat
Learner,3,3,"Amherst, MA, USA",First,-72.5198537,42.3732216
Learner,1,4,"Austin, Texas, US",First,NA,NA
Learner,1,2,"Exton, PA,USA",First,-75.6274583,40.0325817
Learner,2,1,France,First,2.213749,46.227638
Mentor,4,3,"Sherborne, United Kingdom",First,-2.5144829,50.947822
Learner,5,5,"Orlando FL ,USA",First,-81.3792365,28.5383355
Mentor,5,3,Tokyo,First,NA,NA
Learner,1,1,"Delhi,India",First,NA,NA
Mentor,5,4,"New York City, NY",First,-74.0059728,40.7127753
Learner,1,2,"Goiania, Goiás, Brasil",First,-49.26478849999999,-16.6868824
Mentor,3,3,United States,First,-95.712891,37.09024
Learner,3,2,Lima-Peru,First,-77.042754,-12.0463731
Mentor,4,5,"Dallas, Texas",First,-96.79698789999999,32.7766642
Learner,2,2,"Greenbelt, Maryland, USA",First,-76.87552819999999,39.0045544
Learner,4,4,"Tirana, Albania",First,19.8186982,41.3275459
Learner,4,4,"Tirana, Albania",First,19.8186982,41.3275459
Mentor,2,4,"Groningen, Groningen, The Netherlands",First,6.5665017,53.2193835
Learner,2,5,"Fayetteville, Arkansas, USA",First,-94.17185420000001,36.082156
Learner,3,4,"Durham, UK",First,-1.584852,54.77525
Learner,1,2,United Kingdom,First,-3.435973,55.378051
Learner,2,2,Bangalore India,First,77.5945627,12.9715987
Mentor,3,3,"Inverness, UK",First,-4.224721,57.477773
Learner,1,2,"Los Angeles, California,  U.S.A",First,-118.2436849,34.0522342
Learner,1,2,"Los Angeles, CA , U.S.A",First,-118.2436849,34.0522342
Mentor,4,4,Ireland,First,-7.692053599999999,53.1423672
Mentor,4,4,"Philadelphia, PA, USA",First,-75.1652215,39.9525839
Learner,2,4,"Vancouver, Canada",First,-123.1207375,49.2827291
Mentor,5,5,"Bath, UK",First,-2.3599039,51.375801
Learner,2,3,India,First,78.96288,20.593684
Learner,3,3,"Nairobi, Kenya",First,36.8219462,-1.2920659
Learner,1,2,"Austin, TX",First,-97.7430608,30.267153
Learner,1,1,"Mandsaur, Madhya Pradesh, Infia",First,75.06929520000001,24.076836
Learner,2,2,"Dallas, TX",First,-96.79698789999999,32.7766642
Learner,3,2,Luxembourg City,First,6.1319346,49.61162100000001
Mentor,4,5,Reno,First,-119.8138027,39.5296329
Learner,2,3,"Mexico City, Mexico",First,-99.133208,19.4326077
Mentor,5,5,"Paris, Idf, France",First,2.3522219,48.856614
Mentor,5,4,Paris - France,First,2.3522219,48.856614
Mentor,4,2,"Ithaca, NY",First,-76.5018807,42.4439614
Learner,4,3,"Valdivia, Los Rios, Chile",First,NA,NA
Learner,1,1,"Buffalo, New York, USA",First,-78.8783689,42.88644679999999
Learner,3,3,"Washington, D.C.",First,-77.0368707,38.9071923
Learner,3,2,"La Paz, Bolivia",First,-68.11929359999999,-16.489689
Learner,3,4,"San Francisco, CA",First,-122.4194155,37.7749295
Learner,1,2,"Lagos, Nigeria",First,3.3792057,6.5243793
Mentor,4,5,"Boston, MA, USA",First,-71.0588801,42.3600825
Mentor,5,5,"Cork, Ireland",First,-8.4863157,51.8968917
Learner,2,3,"Bangalore, India",First,NA,NA
Mentor,3,3,UK,First,-3.435973,55.378051
Learner,3,2,United Kingdom,First,NA,NA
Learner,4,4,"Chicago, IL",First,-87.6297982,41.8781136
Mentor,4,4,Mauritius,First,57.55215200000001,-20.348404
Learner,3,2,"Mumbai,India",First,NA,NA
Mentor,4,4,"New York, NY, USA",First,-74.0059728,40.7127753
Learner,1,1,"Providence, RI",First,-71.4128343,41.8239891
Mentor,5,5,Abu dhabi,First,54.3773438,24.453884
Learner,2,2,"Pittsburgh, PA, USA",First,-79.9958864,40.44062479999999
Mentor,3,3,"Philadelphia, PA, United States",First,-75.1652215,39.9525839
Learner,1,1,"North Hollywood, CA, United States",First,NA,NA
Learner,3,3,"Braga, Portugal",First,-8.426506999999999,41.5454486
Mentor,5,4,"Vicosa, Minas Gerais,  Brazil",First,-42.8785858,-20.7548697
Mentor,4,4,"Valencia, Valencia, Spain",First,-0.3762881,39.4699075
Learner,1,3,"Denton, TX, United States",First,-97.13306829999999,33.2148412
Learner,1,1,"Halifax, NS, Canada, and New Haven, CT, USA",First,NA,NA
Mentor,5,5,"Los Angeles, CA",First,-118.2436849,34.0522342
Learner,4,4,"New Orleans, LA",First,-90.0715323,29.95106579999999
Learner,3,3,"London, England",First,-0.1277583,51.5073509
Learner,2,2,Berkeley Hts,First,-74.4310524,40.6808726
Mentor,5,5,"Santa Barbara, California, USA",First,NA,NA
Mentor,5,5,"Boston, MA, US",First,-71.0588801,42.3600825
Mentor,5,5,"Winston Salem, NC, USA",First,-80.244216,36.09985959999999
Learner,2,3,"Sacramento, California, U.S.",First,-121.4943996,38.5815719
Learner,4,3,"Durham, NC USA",First,-78.898619,35.9940329
Learner,4,3,"Delhi,India",First,77.10249019999999,28.7040592
Learner,1,1,"Pune, india",First,NA,NA
Learner,3,5,"Round Rock, TX, USA",First,NA,NA
Learner,4,4,"Springfield, IL, USA",First,-89.6501481,39.78172130000001
Learner,2,3,"Santa Barbara, California",First,-119.6981901,34.4208305
Mentor,3,3,"Brooklyn, New York",First,-73.9441579,40.6781784
Learner,2,3,"Miami, Florida, USA",First,-80.1917902,25.7616798
Learner,2,2,"Dublin, Ireland",First,-6.2603097,53.3498053
Learner,2,3,Seattle,First,-122.3320708,47.6062095
Learner,2,2,BOISE,First,-116.2146068,43.6187102
Learner,3,3,Singapore,First,103.819836,1.352083
Mentor,3,3,"New Jersey, USA",First,-74.4056612,40.0583238
Learner,2,5,"Brooklyn, NY",First,NA,NA
Learner,1,1,D.C.,First,-77.0368707,38.9071923
Learner,4,3,"Chennai, Tamilnadu, India",First,80.2707184,13.0826802
Learner,5,5,Kolkata,First,88.36389500000001,22.572646
Learner,3,1,"Xalapa, Veracruz, México",First,-96.91018059999999,19.5437751
Learner,5,5,"San Francisco, CA, US",First,-122.4194155,37.7749295
Learner,3,3,"Goa, India",First,74.12399599999999,15.2993265
Learner,3,4,"Seattle, WA",First,-122.3320708,47.6062095
Learner,5,2,Tianjin. China,First,117.3616476,39.3433574
Learner,2,3,"Dublin, Ireland",First,-6.2603097,53.3498053
Learner,2,2,"Keswick, Cumbria, UK",First,-3.134706,54.601276
Learner,2,4,"Manaus, Amazonas, Brazil",First,NA,NA
Learner,2,3,"Oslo, Norway",First,10.7522454,59.9138688
Mentor,5,3,"São Paulo, Brazil",First,-46.63330939999999,-23.5505199
Learner,4,4,"Chicago, IL,USA",First,-87.6297982,41.8781136
Learner,3,2,"Ann Arbor, Michigan",First,-83.7430378,42.2808256
Learner,2,3,"Campinas, São Paulo, Brazil",First,-47.0625812,-22.9098833
Learner,4,3,"Johannesburg, Gauteng, South Africa",First,28.0473051,-26.2041028
Mentor,5,5,"Chicago, IL, USA",First,-87.6297982,41.8781136
Mentor,5,5,"Montreal, Quebec, Canada",First,-73.567256,45.5016889
Learner,1,1,"Plainsboro, NJ, US",First,-74.585292,40.3382543
Mentor,5,3,"Guatemala City, Guatemala, Guatemala",First,-90.5068824,14.6349149
Learner,3,2,"Debrecen, Hungary",First,21.6273124,47.5316049
