Type,RStudio,Stats,Location,Cohort,lon,lat
Mentor,5,5,"Benito Juárez, Mexico City, México",First,-99.15914459999999,19.3794059
Learner,2,3,Singapore,First,103.819836,1.352083
Mentor,5,5,"Cherry Hill, NJ, USA",First,-75.0246312,39.926813
Learner,2,2,"New York, New York",First,-115.1745559,36.1023715
Learner,2,3,"Saint Paul, MN",First,-93.0899578,44.9537029
Learner,1,3,"Boston, MA, United States",First,-71.0588801,42.3600825
Learner,1,2,"Chicago, Illinois, USA",First,NA,NA
Learner,1,3,"Chardon, Ohio, USA",First,-81.2133262,41.5786639
Learner,1,3,"Cincinnati, OH",First,-84.5120196,39.1031182
Learner,3,3,"SF / Mill Valley, California",First,-122.5449763,37.9060368
Mentor,4,4,"Colombo, Sri Lanka",First,79.861243,6.9270786
Learner,1,3,"Germany, NRW, Cologne area",First,6.9602786,50.937531
Learner,3,3,"Boston, MA, USA",First,-71.0588801,42.3600825
Learner,1,2,Sierra Leone,First,-11.779889,8.460555
Learner,2,5,"Barcelona, Anzoategui, Venezuela",First,NA,NA
Learner,1,1,Paris / France,First,NA,NA
Learner,1,2,"Wakefield, RI, USA",First,-71.50155459999999,41.4381721
Learner,2,2,"Chicago, Illinois",First,-87.6297982,41.8781136
Learner,4,2,"Delhi, India",First,77.10249019999999,28.7040592
Learner,4,4,"Denver, Colorado, USA",First,-104.990251,39.7392358
Learner,3,3,"Sheridan, WY, USA",First,-106.9561791,44.7971939
Learner,5,4,"Ann Arbor, MI",First,-83.7430378,42.2808256
Mentor,5,5,"Columbus, OH",First,-82.99879419999999,39.9611755
Learner,3,4,Brasil,First,NA,NA
Mentor,4,4,"Fairfax, VA",First,-77.30637329999999,38.84622359999999
Learner,3,4,San Francisco,First,-122.4194155,37.7749295
Learner,2,4,"Guaynabo, Puerto Rico",First,NA,NA
Mentor,5,5,"Solon, OH, United States",First,-81.44122589999999,41.3897764
Learner,2,2,"San Francisco, Ca",First,-122.4194155,37.7749295
Learner,4,3,"Cincinnati, Ohio, United States",First,-84.5120196,39.1031182
Learner,1,1,"Weyers Cave, VA",First,-78.9130826,38.288462
Mentor,5,4,"Baltimore, MD, USA",First,-76.6121893,39.2903848
Learner,2,2,"San Francisco, Ca",First,-122.4194155,37.7749295
Mentor,5,5,"Minneapolis, Minnesota, United States of America",First,-93.2650108,44.977753
Learner,2,2,"Bangalore, KA, India",First,77.5945627,12.9715987
Learner,3,3,Taipei/Taiwan,First,121.5654177,25.0329694
Mentor,5,5,Toronto,First,-79.3831843,43.653226
Learner,3,3,"Västerås, Sweden",First,16.5448092,59.60990049999999
Learner,2,2,"Worcester, MA",First,-71.8022934,42.2625932
Mentor,5,5,"Olympia, Washington, USA",First,-122.9006951,47.0378741
Learner,3,2,"Barcelona, Spain",First,2.1734035,41.3850639
Learner,1,2,"Appleton, WI",First,-88.41538469999999,44.2619309
Learner,1,2,"Chicago, IL, USA",First,-87.6297982,41.8781136
Learner,1,4,"Milwaukee, WI, USA",First,-87.9064736,43.0389025
Mentor,5,5,"Durham, NC",First,-78.898619,35.9940329
Learner,2,2,"Vancouver, BC, Canada",First,-123.1207375,49.2827291
Learner,2,2,İstanbul,First,28.9783589,41.0082376
Learner,2,2,İstanbul,First,28.9783589,41.0082376
Learner,2,2,"London, UK",First,NA,NA
Mentor,5,5,"Ann Arbor, MI, USA",First,-83.7430378,42.2808256
Learner,3,4,"Texas, Austin, us",First,-97.7430608,30.267153
Learner,2,4,"Mission Viejo, CA",First,-117.6581562,33.5968913
Learner,1,1,Chennai India,First,80.2707184,13.0826802
Learner,4,3,"San Francisco, CA,USA",First,-122.4194155,37.7749295
Mentor,4,4,"St. Paul, MN",First,-93.0899578,44.9537029
Learner,2,2,"New York, NY, USA",First,-74.0059728,40.7127753
Learner,2,3,"Sunnyvale, CA, USA",First,-122.0363496,37.36883
Learner,5,3,"Portland, OR, USA",First,-122.6764815,45.5230622
Mentor,5,4,"Lincoln, NE USA",First,-96.6851982,40.8257625
Learner,3,3,"Plovdiv, Bulgaria",First,24.7452904,42.1354079
Learner,3,3,Singapore,First,103.819836,1.352083
Learner,3,3,Anchorage Alaska,First,-149.9002778,61.2180556
Mentor,5,5,"Edinburgh, United Kingdom",First,NA,NA
Learner,2,2,San Francisco,First,-122.4194155,37.7749295
Learner,1,3,"Rochester, NY",First,-77.6109219,43.16103
Mentor,5,5,"Nashville, TN, USA",First,-86.7816016,36.1626638
Learner,2,3,"Holland, MI, USA",First,-86.1089301,42.7875235
Learner,1,3,"Seattle, WA",First,-122.3320708,47.6062095
Learner,1,3,"Vancouver, BC, Canada",First,-123.1207375,49.2827291
Learner,2,2,"Warsaw, Mazowieckie, Poland",First,21.0122287,52.2296756
Mentor,5,3,"New York, NY USA",First,-74.0059728,40.7127753
Mentor,4,4,"Basel, Switzerland",First,7.5885761,47.5595986
Mentor,5,5,"Arlington, VA",First,-77.09098089999999,38.8816208
Learner,3,2,"Sydney, Australia",First,151.2092955,-33.8688197
Learner,2,2,"Bengaluru, Karnataka, India",First,NA,NA
Learner,2,3,"Houston, Texas",First,-95.3698028,29.7604267
Learner,3,3,"Melbourne, Australia",First,NA,NA
Learner,1,2,"Ibadan, Nigeria",First,3.9470396,7.3775355
Learner,4,2,"Hyderabad, India",First,78.486671,17.385044
Learner,4,3,"College Station, Texas, United States",First,-96.3344068,30.627977
Learner,3,3,"Riverview, FL USA",First,NA,NA
Learner,2,3,"Perrysburg, Ohio, USA",First,-83.627157,41.556996
Learner,3,3,"Peterborough, United Kingdom",First,-0.2405299,52.56949849999999
Learner,4,3,"Oklahoma City, OK, USA",First,NA,NA
Learner,2,2,"Sabadell, Barcelona, Spain",First,NA,NA
Mentor,4,4,"Boston, MA, USA",First,-71.0588801,42.3600825
Learner,2,3,"Valencia, Valencia, Spain",First,-0.3762881,39.4699075
Mentor,4,3,"San Francisco, Ca",First,NA,NA
Learner,3,2,"Eugene, Oregon, USA",First,-123.0867536,44.0520691
Learner,4,4,"Rio de Janeiro, RJ, Brazil",First,NA,NA
Learner,5,5,"Oak Park, IL",First,-87.7845025,41.8850317
Learner,3,4,"New York City, NY, U.S.",First,-74.0059728,40.7127753
Mentor,4,3,"Bangalore, India",First,77.5945627,12.9715987
Mentor,4,3,Reno,First,-119.8138027,39.5296329
Learner,4,3,Netherlands,First,5.291265999999999,52.132633
Learner,1,1,Hacienda Heights Ca. 91745 USA,First,NA,NA
Learner,1,3,"Calgary, AB, Canada",First,-114.0708459,51.0486151
Learner,1,1,Venezuela,First,-66.58973,6.42375
Learner,1,1,"Bangalore, India",First,NA,NA
Learner,2,2,"Chennai, Tamilnadu, India",First,NA,NA
Mentor,5,5,"Birmingham, AL, US",First,NA,NA
Learner,1,4,"Pittsburgh, PA,",First,-79.9958864,40.44062479999999
Learner,2,4,"Gurgaon, India",First,77.0266383,28.4594965
Learner,1,3,"Kansas City, MO USA",First,-94.5785667,39.0997265
Learner,4,3,USA,First,-95.712891,37.09024
Learner,2,3,"Eugene, OR, USA",First,-123.0867536,44.0520691
Learner,1,2,San Francisco,First,-122.4194155,37.7749295
Learner,1,2,"Johannesburg, Gauteng, South Africa",First,28.0473051,-26.2041028
Mentor,5,3,"Melbourne, Australia",First,144.9630576,-37.8136276
Learner,1,3,"Melbourne, Victoria, Australia",First,144.9630576,-37.8136276
Learner,2,3,"Bangalore, Karnataka, India",First,77.5945627,12.9715987
Mentor,5,5,"Eugene, OR, US",First,-123.0867536,44.0520691
Learner,2,3,"Leeds, United Kingdom",First,-1.5490774,53.8007554
Learner,2,2,"Edinburgh, Scotland, UK",First,-3.188267,55.953252
Learner,3,3,Singapore,First,NA,NA
Learner,2,3,"Rhyl, Denbighshire, United Kingdom",First,-3.491634,53.31914099999999
Learner,2,3,"Leeds, UK",First,-1.5490774,53.8007554
Learner,4,3,"Cardiff, UK",First,-3.17909,51.48158100000001
Learner,4,4,"Raleigh, NC, USA",First,-78.6381787,35.7795897
Learner,2,3,"Houston,TX,USA",First,NA,NA
Learner,1,3,Chicago Illinois,First,-87.6297982,41.8781136
Learner,3,3,"Edinburgh, UK",First,-3.188267,55.953252
Learner,2,4,"Paris, France",First,2.3522219,48.856614
Learner,4,3,"Paris, France",First,2.3522219,48.856614
Learner,2,2,"Poznan, Poland",First,16.9251681,52.406374
Mentor,3,3,"Milwaukee, WI USA",First,-87.9064736,43.0389025
Learner,2,3,"Bristol, Bristol, United Kingdom",First,NA,NA
Learner,1,1,Uk,First,-3.435973,55.378051
Mentor,4,5,New York NY usa,First,NA,NA
Learner,2,3,"Portland, Maine, USA",First,-70.2553259,43.66147100000001
Learner,3,3,UK,First,-3.435973,55.378051
Learner,1,1,London,First,-0.1277583,51.5073509
Learner,3,3,Cologne,First,NA,NA
Learner,1,4,"Toronto, Ontario, Canada",First,-79.3831843,43.653226
Learner,3,2,"Huntsville, AL",First,-86.5861037,34.7303688
Learner,1,2,UK,First,-3.435973,55.378051
Learner,1,3,"New York, New York, USA",First,-74.0059728,40.7127753
Learner,3,3,"Rio de Janeiro/RJ, Brazil",First,-43.1728965,-22.9068467
Learner,1,1,"Livermore, ca",First,-121.7680088,37.6818745
Learner,1,1,India,First,78.96288,20.593684
Learner,2,2,"Muscatine, Iowa, USA",First,-91.0432051,41.424473
Learner,2,2,NC,First,-79.01929969999999,35.7595731
Learner,4,4,"Warrensburg, MO, USA",First,-93.73604979999999,38.7627893
Mentor,3,3,"Eugene, Oregon, USA",First,-123.0867536,44.0520691
Learner,2,4,"Eugene, OR, USA",First,-123.0867536,44.0520691
Learner,3,3,"College Park, MD",First,-76.93776,38.9896967
Learner,3,3,"Nashville, Tn",First,-86.7816016,36.1626638
Learner,1,1,"Eugene, OR, USA",First,NA,NA
Learner,1,2,"Eugene, OR, USA",First,-123.0867536,44.0520691
Learner,3,2,"Kanpur, U.P., India",First,NA,NA
Learner,1,2,"Anchorage, AK, USA",First,-149.9002778,61.2180556
Learner,2,3,London,First,-0.1277583,51.5073509
Learner,1,2,Venezuela,First,-66.58973,6.42375
Learner,1,4,"Greenville, SC",First,-82.3940104,34.85261759999999
Learner,2,3,"Las Vegas, NV, US",First,-115.1398296,36.1699412
Learner,2,1,"Raleigh, NC",First,-78.6381787,35.7795897
Learner,3,3,"St. John's, Newfoundland, Canada",First,-52.7125768,47.5615096
Learner,2,2,Sweden,First,18.643501,60.12816100000001
Learner,1,2,"St. John's, NL, Canada",First,-52.7125768,47.5615096
Mentor,4,4,"Boston, MA, US",First,-71.0588801,42.3600825
Learner,2,5,"Phoenix, AZ",First,-112.0740373,33.4483771
Learner,1,3,"Trowbridge, Wiltshire, UK",First,-2.208853,51.319664
Learner,1,3,"Trowbridge, Wiltshire, UK",First,-2.208853,51.319664
Mentor,4,5,"Würzburg, Germany",First,9.9533548,49.79130439999999
Learner,2,2,Edinburgh,First,-3.188267,55.953252
Learner,2,4,"St. Paul, MN, US",First,-93.0899578,44.9537029
Learner,4,3,"Minneapolis, MN",First,-93.2650108,44.977753
Learner,2,2,"Ames, Iowa, United States",First,-93.63191309999999,42.0307812
Learner,3,3,"St. Paul, MN",First,-93.0899578,44.9537029
Mentor,5,5,"Boston,Mass., U.S.A",First,-71.0588801,42.3600825
Learner,2,4,"Minneapolis, MN, USA",First,-93.2650108,44.977753
Learner,5,4,"Norman, OK, US",First,-97.4394777,35.2225668
Learner,1,3,"Leeds, UK",First,NA,NA
Mentor,4,5,"Manchester, UK",First,-2.2426305,53.4807593
Mentor,5,5,"Rehovot, Israel",First,34.811272,31.892773
Learner,1,2,"San Francisco, CA",First,-122.4194155,37.7749295
Learner,1,3,"Eugene, OR, USA",First,-123.0867536,44.0520691
Learner,3,1,"Norman, OK, USA",First,NA,NA
Learner,3,3,"Bangalore, India",First,77.5945627,12.9715987
Learner,4,3,"Zurich, Switzerland",First,NA,NA
Learner,2,4,"Governador Valadares, Minas Gerais, Brazil",First,-41.95592329999999,-18.8549317
Learner,1,1,"Bogota, Colombia",First,-74.072092,4.710988599999999
Mentor,4,4,"Eugene, Oregon",First,-123.0867536,44.0520691
Learner,1,2,"St. Paul, MN, USA",First,-93.0899578,44.9537029
Learner,5,5,"Bucharest, Romania",First,26.1025384,44.4267674
Mentor,4,3,"San Francisco, CA, USA",First,NA,NA
Learner,1,2,"Melbourne,, Victoria, Australia",First,144.9630576,-37.8136276
Learner,1,5,"Melbourne, Victoria, Australia",First,144.9630576,-37.8136276
Learner,3,2,"Portland, Oregon",First,-122.6764815,45.5230622
Mentor,4,4,toronto canada,First,-79.3831843,43.653226
Mentor,3,3,"Chandler,Arizona, USA",First,-111.8412502,33.3061605
Learner,1,1,"Princeton, NJ, USA",First,-74.6672226,40.3572976
Learner,2,4,"Rio de Janeiro, Brazil",First,-43.1728965,-22.9068467
Learner,2,2,"Boston, MA",First,-71.0588801,42.3600825
Learner,2,2,CA,First,-119.4179324,36.778261
Learner,2,2,"Houston, TX, USA",First,-95.3698028,29.7604267
Mentor,4,4,"Chicago, IL",First,-87.6297982,41.8781136
Learner,2,2,Australia,First,133.775136,-25.274398
Learner,4,3,Rio de Janeiro / RJ / Brazil,First,-43.1728965,-22.9068467
Learner,1,3,"Forest Park,IL, US",First,NA,NA
Learner,1,3,"Berlin, germany",First,NA,NA
Learner,4,4,UK,First,-3.435973,55.378051
Learner,3,4,"Durham, United Kingdom",First,-1.584852,54.77525
Learner,4,3,"Málaga, Spain",First,-4.4213988,36.7212737
Learner,2,3,San Francisco,Second,-122.4194155,37.7749295
Learner,2,4,South Africa,Second,22.937506,-30.559482
Learner,5,5,"Berkeley, CA, United States",Second,-122.272747,37.8715926
Learner,3,3,"Yachats, OR, USA",Second,NA,NA
Learner,5,5,"Cuiabá, Mato Grosso, Brazil",Second,-56.0978917,-15.6014109
Learner,4,3,"cincinnati, oh, USA",Second,-84.5120196,39.1031182
Mentor,5,5,"Westchester, NY",Second,-73.7948516,41.1220194
Mentor,4,5,san francisco,Second,-122.4194155,37.7749295
Mentor,4,4,"Medicine Hat, Alberta, Canada",Second,NA,NA
Learner,4,4,"Kingsville, Ontario",Second,-82.7389809,42.0362841
Learner,3,2,"Dansoman, Ghana",Second,-0.25731,5.5459231
Learner,4,3,"Charlottesville, VA, United States",Second,-78.47667810000002,38.0293059
Mentor,4,4,"Riverside, IL, USA",Second,-87.8228357,41.8350316
Learner,3,3,"Frederick, MD, USA",Second,NA,NA
Learner,5,3,"Mansfield, MA, USA",Second,-71.2190578,42.03345650000001
Learner,5,4,"Charlottesville, VA, USA",Second,-78.47667810000002,38.0293059
Learner,3,4,"Edinburgh, UK",Second,-3.188267,55.953252
Learner,4,4,"Norwich, UK",Second,1.297355,52.6308859
Learner,3,3,"Durban, KwaZulu-Natal, South Africa",Second,31.0218404,-29.85868039999999
Learner,4,3,"Palm Springs, CA, USA",Second,-116.5452921,33.8302961
Learner,4,3,"Playa Del Rey, CA",Second,-118.4422317,33.9564194
Learner,2,3,"Birmingham, AL",Second,-86.80248999999999,33.5206608
Learner,3,3,Oslo/Norway,Second,10.7522454,59.9138688
Learner,4,3,"Sheffield, UK",Second,-1.470085,53.38112899999999
Learner,2,4,Norway,Second,8.468945999999999,60.47202399999999
Learner,4,4,"Aiken, SC, USA",Second,-81.7195533,33.5604168
Mentor,5,5,"Bratislava, Slovakia",Second,17.1077478,48.1485965
Mentor,5,5,"Kansas City, KS",Second,-94.6274636,39.114053
Mentor,5,5,Austin TX,Second,-97.7430608,30.267153
Learner,3,3,Melbourne/Victoria/Australia,Second,144.9630576,-37.8136276
Mentor,4,4,"Berlin, Germany",Second,13.404954,52.52000659999999
Learner,2,2,"Perrysburg, Ohio, USA",Second,-83.627157,41.556996
Learner,3,3,"Istanbul, Turkey",Second,NA,NA
Learner,3,3,"Little Rock, Arkansas, USA",Second,-92.28959479999999,34.7464809
Learner,4,4,Melbourne/Victoria/Australia,Second,144.9630576,-37.8136276
Learner,3,3,"Auckland, New Zealand",Second,174.7633315,-36.8484597
Learner,4,4,Los Angeles,Second,-118.2436849,34.0522342
Learner,4,3,New York,Second,-74.0059728,40.7127753
Learner,3,3,"Sevilla, Spain",Second,-5.9844589,37.3890924
Mentor,5,5,"Dartmouth, NS, Canada",Second,-63.5677427,44.6652059
Learner,5,4,"Dallas, TX",Second,-96.79698789999999,32.7766642
Learner,3,2,San Francisco,Second,-122.4194155,37.7749295
Learner,2,3,"Las Vegas, NV, US",Second,-115.1398296,36.1699412
Learner,2,4,"San Anselmo, CA USA",Second,-122.5616448,37.9746458
Mentor,5,5,"Luxembourg City, Luxembourg",Second,NA,NA
Mentor,5,5,"Palo Alto, California, United States",Second,-122.1430195,37.4418834
Learner,4,4,"Columbia, MO, USA",Second,-92.3340724,38.9517053
Mentor,4,4,"Ottawa, ON, Canada",Second,-75.69719309999999,45.4215296
Learner,4,3,"London, UK",Second,-0.1277583,51.5073509
Learner,3,4,Vancouver,Second,-123.1207375,49.2827291
Learner,4,3,"Baltimore, Maryland",Second,-76.6121893,39.2903848
Mentor,4,4,"Columbus, OH, USA",Second,NA,NA
Learner,4,3,"Houston, TX, USA",Second,-95.3698028,29.7604267
Learner,3,3,Canada,Second,-106.346771,56.130366
Learner,2,3,"Chicago, IL, USA",Second,-87.6297982,41.8781136
Learner,3,4,"Boston, MA USA",Second,-71.0588801,42.3600825
Learner,1,2,"Appleton, WI",Second,-88.41538469999999,44.2619309
Learner,4,3,"Huntington Beach, CA, USA",Second,-117.9988026,33.6594835
Learner,4,5,"Abu Dhabi, UAE",Second,54.3773438,24.453884
Learner,4,4,Switzerland,Second,8.227511999999999,46.818188
Learner,4,3,"Heidelberg, Germany",Second,8.6724335,49.3987524
Learner,4,3,"Heidelberg, Germany",Second,8.6724335,49.3987524
Learner,3,3,"Oxford, England",Second,-1.2577263,51.7520209
Mentor,5,5,"Melbourne, Australia",Second,144.9630576,-37.8136276
Learner,3,3,"Chicago, IL",Second,NA,NA
Learner,4,1,"Stroud, Gloucestershire, UK",Second,-2.217758,51.745734
Learner,4,4,"Cordova, TN, USA",Second,-89.761545,35.1598391
Learner,4,2,"Lakeland, Florida",Second,-81.9498042,28.0394654
Mentor,3,4,"Minnetonka, Minnesota, USA",Second,-93.4687489,44.9211836
Learner,4,4,Rio de Janeiro/RJ/Brazil,Second,-43.1728965,-22.9068467
Learner,4,4,"Reykjavik, Iceland",Second,-21.8174392,64.12652059999999
Learner,3,3,"Phila, PA",Second,-75.1652215,39.9525839
Learner,3,3,Hyderabad,Second,78.486671,17.385044
Learner,3,3,"Zürich, Switzerland",Second,8.541694,47.3768866
Learner,4,4,Phoenix,Second,-112.0740373,33.4483771
Learner,4,4,"Kathmandu, Nepal",Second,85.3239605,27.7172453
Learner,3,5,North Carolina,Second,-79.01929969999999,35.7595731
Learner,1,3,"Manila, Philippines",Second,120.9842195,14.5995124
Learner,4,4,"San Diego, CA, USA",Second,-117.1610838,32.715738
Learner,4,3,"Canberra, ACT, Australia",Second,149.1300092,-35.2809368
Learner,3,2,"Cleveland, OH, USA",Second,-81.6943605,41.49932
Learner,2,2,Chennai,Second,80.2707184,13.0826802
Learner,5,4,"Windsor, Ontario, Canada",Second,-83.03636329999999,42.3149367
Learner,3,3,"Bangalore, India",Second,77.5945627,12.9715987
Mentor,5,5,Colombia,Second,-74.297333,4.570868
Learner,3,5,"Wilmington, NC, USA",Second,-77.9447102,34.2257255
Learner,3,3,"Livermore, CA, USA",Second,-121.7680088,37.6818745
Learner,3,3,Mexico,Second,-102.552784,23.634501
Learner,3,2,Indore,Second,NA,NA
Learner,3,3,Warszawa,Second,21.0122287,52.2296756
Learner,2,1,"Dallas, TX, U.S.A.",Second,-96.79698789999999,32.7766642
Learner,4,3,"Belfast, UK",Second,-5.93012,54.59728500000001
Learner,1,4,"Seattle, Wa",Second,-122.3320708,47.6062095
Mentor,5,4,"Hobart, Tasmania",Second,147.3271949,-42.8821377
Learner,5,4,"Barcelona, Spain",Second,2.1734035,41.3850639
Learner,2,4,The Netherlands,Second,5.291265999999999,52.132633
Learner,4,2,"Prague, Czech Republic",Second,14.4378005,50.0755381
Learner,3,4,"Bengaluru,India",Second,77.5945627,12.9715987
Learner,2,2,"Moscow, Russia",Second,37.6172999,55.755826
Learner,2,3,Baile Átha Cliath,Second,-6.2603097,53.3498053
Learner,4,2,Germany,Second,10.451526,51.165691
Learner,4,4,Glasgow,Second,-4.251806,55.864237
Mentor,5,5,"Jersey City, NJ",Second,-74.0776417,40.72815749999999
Learner,1,3,"Melbourne, Australia",Second,144.9630576,-37.8136276
Learner,4,3,"Belgrade, Serbia",Second,20.4489216,44.786568
Learner,3,3,"Kharagpur, west bengal, India",Second,87.2319753,22.34601
Learner,3,4,"Sea Cliff, NY, US",Second,-73.64485049999999,40.8489887
Learner,4,4,"London, uk",Second,-0.1277583,51.5073509
Mentor,5,5,France,Second,2.213749,46.227638
Learner,3,2,"Jequié, Bahia, Brazil",Second,-40.0837763,-13.8590592
Learner,4,4,"San Salvador, San Salvador, El Salvador",Second,NA,NA
Learner,2,3,"São Paulo, Brazil",Second,-46.63330939999999,-23.5505199
Learner,2,2,"Vigo, Spain",Second,-8.7207268,42.24059889999999
Learner,2,2,"Bangalore, India",Second,77.5945627,12.9715987
Learner,3,4,"Paris, France",Second,2.3522219,48.856614
Learner,3,3,"Baltimore, md usa",Second,-76.6121893,39.2903848
Learner,3,4,"Victoria, Texas, USA",Second,-97.0035982,28.8052674
Learner,3,3,"Philadelphia, PA",Second,-75.1652215,39.9525839
Learner,4,3,"Atlanta, GA, USA",Second,-84.3879824,33.7489954
Learner,3,3,"Atlanta, GA",Second,-84.3879824,33.7489954
Mentor,4,3,Washington dc,Second,-77.0368707,38.9071923
Learner,4,3,"Lagos, Nigeria.",Second,3.3792057,6.5243793
Learner,3,3,"Berlin, Germany",Second,13.404954,52.52000659999999
Learner,3,3,"Bogota, Colombia",Second,-74.072092,4.710988599999999
Learner,3,3,australia,Second,133.775136,-25.274398
Learner,4,3,"Woodside, NY USA",Second,-73.90364869999999,40.7512123
Learner,3,3,"Minneapolis, MN",Second,-93.2650108,44.977753
Learner,4,4,"St Louis, MO, USA",Second,-90.19940419999999,38.6270025
Mentor,5,4,"Spokane, WA",Second,-117.4260465,47.6587802
Learner,4,4,Brazil,Second,-51.92528,-14.235004
Learner,3,3,"Sydney, NSW, Australia",Second,151.2092955,-33.8688197
Learner,2,3,"Liverpool, England",Second,-2.9915726,53.4083714
Learner,4,3,SJCampos/SP/Brazil,Second,NA,NA
Learner,1,2,"Toronto, Ontario, Canada",Second,-79.3831843,43.653226
Learner,3,3,Germany,Second,10.451526,51.165691
Mentor,5,4,Dublin Ireland,Second,-6.2603097,53.3498053
Learner,2,2,"Little Rock, AR",Second,-92.28959479999999,34.7464809
Learner,2,3,Edinburgh,Second,-3.188267,55.953252
Learner,4,4,"Vigo, Spain",Second,-8.7207268,42.24059889999999
Mentor,5,5,"Moscow, Russia",Second,37.6172999,55.755826
Learner,2,4,Iceland,Second,-19.020835,64.963051
Learner,1,3,"Indianapolis, Indiana, USA",Second,-86.158068,39.768403
Learner,2,2,"Little Rock, AR",Second,-92.28959479999999,34.7464809
Mentor,5,5,"Manchester, UK",Second,-2.2426305,53.4807593
Learner,4,4,USA,Second,-95.712891,37.09024
Learner,3,3,"Champaign, IL, USA",Second,-88.2433829,40.1164204
Learner,2,2,"Little Rock, AR",Second,-92.28959479999999,34.7464809
Mentor,4,3,"Evanston, IL",Second,-87.68769689999999,42.0450722
Learner,2,2,"Little Rock, AR",Second,-92.28959479999999,34.7464809
Learner,2,2,"Little Rock, AR",Second,-92.28959479999999,34.7464809
Learner,5,3,"Brasília, DF, Brazil",Second,-47.8821658,-15.7942287
Learner,2,2,"Ankeny, IA, USA",Second,-93.6001278,41.7317884
Mentor,5,3,"Paranaque City, NCR, Philippines",Second,121.0198229,14.4793095
Learner,2,2,"Little Rock, AR",Second,-92.28959479999999,34.7464809
Learner,3,3,"Sao Paulo, Sao Paulo/Brazil",Second,-46.63330939999999,-23.5505199
Learner,2,2,"Little Rock, AR",Second,NA,NA
Learner,4,2,"London, UK",Second,-0.1277583,51.5073509
Learner,4,4,Mountain View,Second,-122.0838511,37.3860517
Mentor,5,3,"Kingston, RI USA",Second,-71.52255980000001,41.48037910000001
Learner,2,4,"Pittsburgh, PA",Second,-79.9958864,40.44062479999999
Mentor,4,3,Iceland,Second,-19.020835,64.963051
Mentor,5,4,Portugal,Second,-8.224454,39.39987199999999
Learner,5,4,"Houston, TX, USA",Second,-95.3698028,29.7604267
Learner,3,3,Boston,Second,NA,NA
Learner,2,2,"Venlo, Limburg, the Netherlands",Second,6.172403099999999,51.3703748
Learner,3,2,"Riga, Latvia",Second,24.1051865,56.9496487
Learner,3,3,"Barcelona, Spain",Second,2.1734035,41.3850639
Mentor,3,3,India,Second,78.96288,20.593684
Mentor,4,4,Sheffield/UK,Second,-1.470085,53.38112899999999
Learner,2,4,"Okemos, MI, USA",Second,-84.4274744,42.722257
Learner,4,4,"Warsaw, Poland",Second,21.0122287,52.2296756
Learner,1,3,Mass,Second,NA,NA
Learner,4,4,Hamburg,Second,9.9936819,53.5510846
Mentor,5,3,"Buffalo, NY, USA",Second,-78.8783689,42.88644679999999
Mentor,5,5,"Chicago, IL USA",Second,-87.6297982,41.8781136
Mentor,4,3,"Santa Clara, CA",Second,-121.9552356,37.3541079
Learner,4,3,"Chicago, IL, USA",Second,NA,NA
Learner,3,3,"Stockholm, Sweden",Second,18.0685808,59.32932349999999
Learner,2,4,"San Francisco, CA USA",Second,-122.4194155,37.7749295
Mentor,4,3,"Louisville, Kentucky",Second,-85.7584557,38.2526647
Learner,4,3,"Valdivia, Los Rios, Chile",Second,-73.24253329999999,-39.8173788
Learner,4,3,"Rapid City, South Dakota, USA",Second,NA,NA
Learner,3,3,Italy,Second,12.56738,41.87194
Mentor,4,4,"Louisville, KY",Second,-85.7584557,38.2526647
Learner,3,3,"Louisville, KY USA",Second,NA,NA
Learner,3,3,"Louisville, KY USA",Second,-85.7584557,38.2526647
Learner,3,3,"Brisbane, Queensland, Australia",Second,153.0251235,-27.4697707
Learner,4,4,"Superior, CO",Second,-105.1685977,39.95276339999999
Learner,3,5,Toronto,Second,-79.3831843,43.653226
Learner,5,5,"Toronto, Ontario, Canada",Second,-79.3831843,43.653226
Learner,5,5,"London, UK",Second,-0.1277583,51.5073509
Learner,4,4,Melbourne Australia,Second,144.9630576,-37.8136276
Learner,2,3,NZ,Second,174.885971,-40.900557
Mentor,5,4,Little Rock,Second,NA,NA
Learner,5,5,"Porto, Porto, Portugal",Second,-8.629105299999999,41.1579438
Learner,2,3,the Netherlands,Second,5.291265999999999,52.132633
Mentor,5,4,"Joyceville, Ontario, Canada",Second,-76.33612699999999,44.360688
Learner,2,5,seattle,Second,-122.3320708,47.6062095
Learner,3,3,"London, UK",Second,-0.1277583,51.5073509
Mentor,4,4,"Eau Claire, WI, USA",Second,-91.4984941,44.811349
Learner,3,4,"Melbourne, Australia",Second,144.9630576,-37.8136276
Learner,1,3,"Brisbane, Queensland, Australia",Second,153.0251235,-27.4697707
Learner,4,4,"Lübeck, Germany",Second,10.6865593,53.8654673
Learner,5,5,"Houston, TX USA",Second,-95.3698028,29.7604267
Learner,4,4,"Pacifica, CA, USA",Second,-122.4869194,37.6138253
Learner,3,3,"Austin, TX",Second,-97.7430608,30.267153
Learner,3,4,Washington,Second,-120.7401385,47.7510741
Learner,3,3,"Houston, TX",Second,-95.3698028,29.7604267
Learner,1,3,"Boston, MA",Second,-71.0588801,42.3600825
Mentor,4,3,United Kingdom,Second,-3.435973,55.378051
Learner,3,4,"Houston, TX",Second,-95.3698028,29.7604267
Learner,4,2,"Tianjin, China",Second,117.3616476,39.3433574
